dataset,scenario,alpha,generator_peak_MiB,student_peak_MiB,teacher_peak_MiB,generator_optimizer_peak_MiB,student_optimizer_peak_MiB,synthetic_disk_peak_MiB,synthetic_decoded_peak_MiB
hyperkvasir,distribution,0.3,514.8552589416504,85.36325073242188,85.36325073242188,1029.7056350708008,42.64485168457031,859.701286315918,5760.0
pathmnist,distribution,0.3,129.3552589416504,85.32019805908203,85.32019805908203,258.7056350708008,42.62332534790039,189.35193347930908,1440.0
