dataset,method,seed,ACC,RMA,BWTR,MPE,DRR,peak_allocated_mib,peak_reserved_mib,max_auxiliary_bytes_all_clients,local_training_seconds,construction_seconds,subspace_merge_seconds
pathmnist,FedAvg,2025,58.576362348416,1.0180259227175583,-0.4798382055966977,0.0,0.0,4788.984375,8308.0,0,14443.924789990997,0.12389226211234927,0.00036161812022328377
pathmnist,Fed-GPM,2025,69.56061148589656,1.0139452638718338,-0.30408719601339,0.0,0.003921258764280813,4826.62939453125,8314.0,591180400,22982.375194151187,331.7563366163522,0.5864112207200378
pathmnist,FedSubMerge,2025,54.70182719919116,1.01656711815526,-0.5302307475607857,0.0,0.09560207387571606,4921.13818359375,8310.0,2670480,22984.772952420404,120.2528122512158,2.2913423907011747
pathmnist,FedSubMerge-AD,2025,60.12503081766803,1.0282113515489255,-0.4624537790479817,0.0,0.09560207387571606,4921.13818359375,8354.0,1870848,22993.447344641434,118.20974803599529,15.933573508169502
hyperkvasir,FedAvg,2025,73.65501711336556,0.9609846650044933,-0.09672264839982049,0.0,0.0,18841.02734375,34126.0,0,3696.8126106730197,0.06187875918112695,0.0007378244772553444
hyperkvasir,Fed-GPM,2025,64.64276490935697,0.9293938277656796,-0.1522997484816328,0.0,0.17348638461775825,18858.03369140625,34132.0,315134840,3754.089609863935,928.3821007758379,1.2136438752058893
hyperkvasir,FedSubMerge,2025,69.53516259559883,0.9405194811162846,-0.10577208004901417,0.0,0.8637502540819186,18971.3046875,34138.0,1707160,3744.207877399167,86.38865311187692,2.1619649194180965
hyperkvasir,FedSubMerge-AD,2025,68.28634086926091,0.9484657091563792,-0.13383781814539475,0.0,0.8637502540819186,18971.3046875,34188.0,1991476,3806.0624546492472,87.17973168427125,13.947391378926113
skin,FedAvg,2025,74.95639287973255,1.00342707257223,-0.22999680204669004,0.0,0.0,18840.97265625,33150.0,0,9001.326563456096,0.038289438001811504,0.00018084188923239708
skin,Fed-GPM,2025,79.34936297099485,0.9973496785005191,-0.14394818076008298,0.0,0.009567925251212594,18855.06884765625,33158.0,59454816,9014.466284530004,98.04668491892517,0.16917853895574808
skin,FedSubMerge,2025,78.56535646516672,0.9959223821407104,-0.1624281860468856,0.0,0.24854076432855043,18972.30908203125,33162.0,6405056,9024.35644053761,28.123309487709776,0.39737589517608285
skin,FedSubMerge-AD,2025,76.28549742477635,1.0048543689320388,-0.20836633520073466,0.0,0.24854076432855043,18972.29150390625,33162.0,5730628,9044.817825644976,28.97924319212325,1.9873379168566316
