dataset,method,ACC,RMA,BWTR,MPE,DRR,DRR_kind,synthetic_DRR_proxy,peak_allocated_mib,local_training_seconds,construction_seconds
pathmnist,FOT,51.11869603920033,0.9996212730476203,-0.612665974808154,0.0,1.0,unique_real_source_images,,4788.98681640625,9257.30573927809,145.19502792996354
pathmnist,Fed-DER,91.28015883914384,0.973353496831305,-0.0488503570266306,0.0,0.07490129234623523,unique_real_source_images,,4848.71923828125,19037.246542197652,0
hyperkvasir,FOT,62.96907243385365,0.9976455707809773,-0.29121017061415183,0.0,1.0,unique_real_source_images,,18841.0322265625,3663.839964695857,58.2370971608907
hyperkvasir,TARGET,66.73448357429953,0.8768615833912398,-0.11355830303901367,0.0,,synthetic_teacher_label_attribution,6.283383465499955,22107.443359375,10452.971042881603,29991.304169062874
hyperkvasir,Fed-DER,72.27252995619367,0.8762681227074478,-0.07881161839802757,0.0,0.44731301290501335,unique_real_source_images,,18935.01708984375,10433.587091856287,0
pathmnist,TARGET,66.8944954290881,0.834014625165025,-0.22134315541671695,0.0,,synthetic_teacher_label_attribution,0.50828253389614,5743.1865234375,24755.869232065394,4395.636908686021
