dataset,method,seed,ACC,RMA,BWTR,MPE,DRR,peak_allocated_mib,peak_reserved_mib,max_auxiliary_bytes_all_clients,local_training_seconds,construction_seconds,subspace_merge_seconds
hyperkvasir,Fed-GPM,2025,70.06856275634387,0.9867503319712885,-0.18515895247334657,0.0,0.23926996184035762,18861.67822265625,33158.0,466835536,3759.553553625243,1264.2059499622555,1.235477436799556
hyperkvasir,FedAvg,2025,64.05672409860661,0.9361500960151808,-0.24553646931315842,0.0,0.0,18841.02734375,33150.0,0,3691.352087612846,0.04594679514411837,0.0007453178986907005
hyperkvasir,FedSubMerge,2025,71.19117777105173,0.9981768060855464,-0.19968667571281706,0.0,0.9476978062786175,18972.33984375,33162.0,5810840,3832.5884138931287,98.61418075906113,2.616217204951681
hyperkvasir,FedSubMerge-AD,2025,69.61536490437354,0.9888360123473944,-0.20792138457425322,0.0,0.9476978062786175,18972.33984375,33210.0,5761192,3789.603813433554,96.13216956297401,15.510548806982115
pathmnist,Fed-GPM,2025,71.96601833988461,0.9979628290505583,-0.32983213288617763,0.0,0.004853209525904216,4842.66552734375,8790.0,857549936,14585.042193046655,391.16447733400855,0.43366494902875274
pathmnist,FedAvg,2025,65.99416854014596,0.9908169206813744,-0.4085879209687465,0.0,0.0,4788.984375,8780.0,0,14538.724635777995,0.14354622294194996,0.00028747296892106533
pathmnist,FedSubMerge,2025,75.76732148728001,1.0016513815188692,-0.28178305481134364,0.0,0.11685278874216826,4921.42333984375,8790.0,3664320,15084.594447393902,97.28695727197919,1.4559684119885787
pathmnist,FedSubMerge-AD,2025,78.9334345303517,0.9886357747299361,-0.2287977879707388,0.0,0.11685278874216826,4921.40576171875,8802.0,3283556,15023.88077871513,108.95360051305033,23.5556993909413
