dataset,method,seed,ACC,RMA,BWTR,MPE,DRR,peak_allocated_mib,peak_reserved_mib,max_auxiliary_bytes_all_clients,local_training_seconds,construction_seconds,subspace_merge_seconds
hyperkvasir,FedAvg,2025,36.22989689047547,1.006253934828524,-0.6000380540297581,0.0,0.0,18841.02734375,33150.0,0,3565.794684892753,0.04200680763460696,0.0003781723789870739
hyperkvasir,Fed-GPM,2025,49.26359339890074,1.0566017170304907,-0.4412060181934169,0.0,0.08675009037450288,18850.68310546875,33156.0,260998568,3600.481115559349,582.5140540872235,0.6123634690884501
hyperkvasir,FedSubMerge,2025,42.01679099216431,1.0512701425670834,-0.5403135226036562,0.0,1.0,18928.21728515625,33162.0,3249480,3626.7858662330545,91.50528717436828,1.0233175938483328
hyperkvasir,FedSubMerge-AD,2025,41.243330638305956,1.055869193738305,-0.5509712971030106,0.0,1.0,18928.21728515625,33214.0,3139368,3670.300238122698,91.29308276483789,6.055319071048871
